Station_Name,Station_Town,Department,Longitude,Latitude,FRET,VOYAGEURS
Illfurth,ILLFURTH,HAUT-RHIN,7.268794462672753,47.676683871162425,N,O
Ste-Léocadie,SAINTE-LEOCADIE,PYRENEES-ORIENTALES,2.010769165615426,42.441308040980225,N,O
La Penne-sur-Huveaune,LA PENNE-SUR-HUVEAUNE,BOUCHES-DU-RHONE,5.515553840898035,43.284789141416624,N,O
Troyes,SAINT-JULIEN-LES-VILLAS,AUBE,4.091767915224051,48.26960987416348,O,O
La Chapelle-sur-Loire,LA CHAPELLE-SUR-LOIRE,INDRE-ET-LOIRE,0.21864433916433,47.25125666828695,N,O
St-Jean-de-Losne,SAINT-USAGE,COTE-D'OR,5.240605340813892,47.10318863854627,O,O
Pont-d'Ardres,ARDRES,PAS-DE-CALAIS,1.971319781238637,50.89209252681081,O,O
Lisle-sur-Tarn,LISLE-SUR-TARN,TARN,1.808445804445401,43.85699726914997,N,O
Achères-Ville,ACHERES,YVELINES,2.077781536261871,48.970114458751645,N,O
St-Agnan,SAINT-AGNAN,SAONE-ET-LOIRE,3.879207864973599,46.50146020099201,N,O
Vieilleville,MOURIOUX-VIEILLEVILLE,CREUSE,1.671710881358411,46.08892502640087,N,O
Auxerre-St-Gervais,AUXERRE,YONNE,3.585464507772017,47.79761112367383,O,O
Mazamet,MAZAMET,TARN,2.374807435653445,43.497891075793675,O,O
Vallorcine,VALLORCINE,HAUTE-SAVOIE,6.932883996112776,46.03240057345807,N,O
Dunkerque,DUNKERQUE,NORD,2.364678910284624,51.034645417513985,O,O
Dannemarie,DANNEMARIE,HAUT-RHIN,7.125321504403092,47.62764248459723,N,O
Belfort,BELFORT,TERRITOIRE-DE-BELFORT,6.855518836923356,47.62962842293642,O,O
Aixe-sur-Vienne,AIXE-SUR-VIENNE,HAUTE-VIENNE,1.145647625204983,45.79649852975975,N,O
Dompierre-Sept-Fons,DOMPIERRE-SUR-BESBRE,ALLIER,3.675343009355433,46.52641660175006,O,O
Rémilly,REMILLY,MOSELLE,6.394501274463497,49.01480004894034,O,O
Tours,TOURS,INDRE-ET-LOIRE,0.69555679219247,47.38792066135387,O,O
Pléchâtel,PLECHATEL,ILLE-ET-VILAINE,-1.776537138243784,47.87205414636025,N,O
Chaulnes,CHAULNES,SOMME,2.802085456528031,49.80704259461086,O,O
Voujeaucourt,VOUJEAUCOURT,DOUBS,6.770008290026753,47.47894451459476,N,O
Trémentines,TREMENTINES,MAINE-ET-LOIRE,-0.808657189284724,47.1350379427619,N,O
La Crèche,LA CRECHE,DEUX-SEVRES,-0.296227383315685,46.3605230135639,N,O
Montville,ESLETTES,SEINE-MARITIME,1.069874551174672,49.5512072804505,N,O
Lorraine-TGV,LOUVIGNY,MOSELLE,6.173286307716069,48.94799570019468,N,O
Lizy-sur-Ourcq,LIZY-SUR-OURCQ,SEINE-ET-MARNE,3.031864920341824,49.02179218810581,O,O
Mantes-la-Jolie,MANTES-LA-VILLE,YVELINES,1.70309309052191,48.989085133393594,O,O
St-Nazaire,SAINT-NAZAIRE,LOIRE-ATLANTIQUE,-2.211324800004774,47.28676363953024,O,O
Triel-sur-Seine,TRIEL-SUR-SEINE,YVELINES,2.006151763273637,48.98092617764641,N,O
Rosières-aux-Salines,DOMBASLE-SUR-MEURTHE,MEURTHE-ET-MOSELLE,6.350779481206112,48.60510614106857,N,O
Château-du-Loir,MONTVAL-SUR-LOIR,SARTHE,0.415045923178714,47.68295549546014,O,O
Pont-du-Garigliano-Hôpital-Georges-Pompidou,PARIS,PARIS,2.270480189164176,48.83915148467825,N,O
Hellemmes,LILLE,NORD,3.116260107935155,50.62287383634239,O,O
Beau-Marais,CALAIS,PAS-DE-CALAIS,1.899167319606589,50.945374237372256,N,O
Flers,FLERS,ORNE,-0.573534215608868,48.7443263394735,N,O
Balagny-St-Épin,BALAGNY-SUR-THERAIN,OISE,2.344246592501725,49.294257290116214,N,O
St-Étienne-Carnot,SAINT-ETIENNE,LOIRE,4.384775397927474,45.446730990708296,N,O
La Rochefoucauld,LA ROCHEFOUCAULD-EN-ANGOUMOIS,CHARENTE,0.38984481512601,45.74024192809467,N,O
La Chapelle-Centre,LA CHAPELLE-SUR-ERDRE,LOIRE-ATLANTIQUE,-1.548427564192517,47.295746262153045,O,O
Itxassou,ITXASSOU,PYRENEES-ATLANTIQUES,-1.395309489751563,43.32408263835211,N,O
Massy-Verrières,MASSY,ESSONNE,2.273583714478755,48.73485491346597,N,O
Drap-Cantaron,CANTARON,ALPES-MARITIMES,7.316939479711958,43.75988022243699,N,O
Moreuil,MOREUIL,SOMME,2.475453542153178,49.77709227697043,N,O
Plerguer,PLERGUER,ILLE-ET-VILAINE,-1.850553974849737,48.53148389771887,N,O
Lentilly-Charpenay,LENTILLY,RHONE,4.682268018683733,45.8165281223888,N,O
Trélazé,TRELAZE,MAINE-ET-LOIRE,-0.469567830097351,47.45284945442928,N,O
La Ricamarie,LA RICAMARIE,LOIRE,4.357680089145885,45.403197752600775,N,O
Péreire-Levallois,PARIS,PARIS,2.297972634967636,48.88527189234944,N,O
Gien,GIEN,LOIRET,2.636757350624025,47.698878641555325,O,O
St-Germain-des-Fossés,SAINT-GERMAIN-DES-FOSSES,ALLIER,3.430507768733191,46.20901169096101,O,O
Cavignac,CAVIGNAC,GIRONDE,-0.382083372825998,45.10528555773667,N,O
Bressuire,BRESSUIRE,DEUX-SEVRES,-0.496368796646087,46.8381717510726,N,O
Pont-Remy,PONT-REMY,SOMME,1.898939345567899,50.04724458212341,N,O
St-Gaudens,SAINT-GAUDENS,HAUTE-GARONNE,0.728631549972755,43.1047116609694,O,O
Mouchard,MOUCHARD,JURA,5.800378285208584,46.975770112057795,N,O
Miribel,MIRIBEL,AIN,4.953756089762523,45.82181668995889,O,O
Ors,ORS,NORD,3.626654190031645,50.10307653946187,N,O
Selles-sur-Cher,SELLES-SUR-CHER,LOIR-ET-CHER,1.546144164943466,47.28188791364479,N,O
Monnerville,MONNERVILLE,ESSONNE,2.031020422674964,48.347252262438936,N,O
Annecy,ANNECY,HAUTE-SAVOIE,6.121832970715078,45.90221094284461,O,O
Lamanon,LAMANON,BOUCHES-DU-RHONE,5.091458171829456,43.6999727965264,N,O
Duppigheim,DUPPIGHEIM,BAS-RHIN,7.587072359646609,48.54404266185156,N,O
Base Aérienne,GIEVRES,LOIR-ET-CHER,1.681942131120967,47.32008704189344,N,O
Corrèze,SAINT-PRIEST-DE-GIMEL,CORREZE,1.879639494361449,45.32876581451238,N,O
Tourville,TOURVILLE-LA-RIVIERE,SEINE-MARITIME,1.098509869879438,49.32455521261547,N,O
Cambrai,CAMBRAI,NORD,3.243769164260604,50.17574195514733,N,O
Paris-Gare-de-Lyon-Souterrain,PARIS,PARIS,2.375645285904874,48.84431152436104,N,O
Carantilly-Marigny,CARANTILLY,MANCHE,-1.244517323198757,49.06787505568984,N,O
Montauban-de-Bretagne,MONTAUBAN-DE-BRETAGNE,ILLE-ET-VILAINE,-2.052807491308817,48.19003805004627,O,O
Allassac,ALLASSAC,CORREZE,1.472903260926275,45.25916237718533,N,O
Tullins-Fures,TULLINS,ISERE,5.492335867260874,45.30087741538891,N,O
Givors-Canal,GIVORS,RHONE,4.7717712481504,45.59602665061307,N,O
Montereau,VARENNES-SUR-SEINE,SEINE-ET-MARNE,2.936172695473762,48.380062575084864,O,O
St-Antoine-de-Breuilh,SAINT-ANTOINE-DE-BREUILH,DORDOGNE,0.151863918405835,44.84669421977345,N,O
Avignon-TGV,AVIGNON,VAUCLUSE,4.785988680479314,43.92185220386844,N,O
Boisseaux,BOISSEAUX,LOIRET,1.972591773181168,48.25530706942869,N,O
Meyrargues,MEYRARGUES,BOUCHES-DU-RHONE,5.539284286572694,43.644079505354135,N,O
St-Michel-Notre-Dame,PARIS,PARIS,2.346962754944606,48.853002250369464,N,O
Ludon,LUDON-MEDOC,GIRONDE,-0.611768523207315,44.97432408179623,N,O
Colmar,COLMAR,HAUT-RHIN,7.349087420944785,48.075310117840175,O,O
Liart,LIART,ARDENNES,4.335391598446347,49.77036003975778,N,O
Herrlisheim-près-Colmar,HERRLISHEIM-PRES-COLMAR,HAUT-RHIN,7.320825947422454,48.01758069499349,N,O
Montpon-Ménestérol,MONTPON-MENESTEROL,DORDOGNE,0.15939471755587,45.0062166181403,N,O
